edad,id,nombre,label,valorAsegurado,primaAnual,primaSemestral
20,50,Opción 50,Opción 50,$50.000.000,$327.400,$170.400
,46,Opción 46,Opción 46,$100.000.000,$654.800,$340.900
,51,Opción 51,Opción 51,$150.000.000,$982.200,$511.400
,52,Opción 52,Opción 52,$200.000.000,$1.309.600,$681.900
,53,Opción 53,Opción 53,$250.000.000,$1.637.000,$852.400
,54,Opción 54,Opción 54,$300.000.000,$1.964.400,$1.022.900
,55,Opción 55,Opción 55,$400.000.000,$2.619.300,$1.363.800
,56,Opción 56,Opción 56,$500.000.000,$3.274.100,$1.704.800
21,50,Opción 50,Opción 50,$50.000.000,$328.400,$171.000
,46,Opción 46,Opción 46,$100.000.000,$656.900,$342.000
,51,Opción 51,Opción 51,$150.000.000,$985.400,$513.100
,52,Opción 52,Opción 52,$200.000.000,$1.313.900,$684.100
,53,Opción 53,Opción 53,$250.000.000,$1.642.400,$855.200
,54,Opción 54,Opción 54,$300.000.000,$1.970.900,$1.026.200
,55,Opción 55,Opción 55,$400.000.000,$2.627.900,$1.368.300
,56,Opción 56,Opción 56,$500.000.000,$3.284.800,$1.710.400
22,50,Opción 50,Opción 50,$50.000.000,$329.500,$171.600
,46,Opción 46,Opción 46,$100.000.000,$659.100,$343.200
,51,Opción 51,Opción 51,$150.000.000,$988.600,$514.800
,52,Opción 52,Opción 52,$200.000.000,$1.318.200,$686.400
,53,Opción 53,Opción 53,$250.000.000,$1.647.800,$858.000
,54,Opción 54,Opción 54,$300.000.000,$1.977.300,$1.029.600
,55,Opción 55,Opción 55,$400.000.000,$2.636.500,$1.372.800
,56,Opción 56,Opción 56,$500.000.000,$3.295.600,$1.716.000
23,50,Opción 50,Opción 50,$50.000.000,$331.100,$172.400
,46,Opción 46,Opción 46,$100.000.000,$662.300,$344.800
,51,Opción 51,Opción 51,$150.000.000,$993.500,$517.300
,52,Opción 52,Opción 52,$200.000.000,$1.324.700,$689.700
,53,Opción 53,Opción 53,$250.000.000,$1.655.800,$862.200
,54,Opción 54,Opción 54,$300.000.000,$1.987.000,$1.034.600
,55,Opción 55,Opción 55,$400.000.000,$2.649.400,$1.379.500
,56,Opción 56,Opción 56,$500.000.000,$3.311.700,$1.724.400
24,50,Opción 50,Opción 50,$50.000.000,$332.700,$173.200
,46,Opción 46,Opción 46,$100.000.000,$665.500,$346.500
,51,Opción 51,Opción 51,$150.000.000,$998.300,$519.800
,52,Opción 52,Opción 52,$200.000.000,$1.331.100,$693.100
,53,Opción 53,Opción 53,$250.000.000,$1.663.900,$866.400
,54,Opción 54,Opción 54,$300.000.000,$1.996.700,$1.039.600
,55,Opción 55,Opción 55,$400.000.000,$2.662.300,$1.386.200
,56,Opción 56,Opción 56,$500.000.000,$3.327.800,$1.732.800
25,50,Opción 50,Opción 50,$50.000.000,$333.800,$173.800
,46,Opción 46,Opción 46,$100.000.000,$667.700,$347.600
,51,Opción 51,Opción 51,$150.000.000,$1.001.500,$521.500
,52,Opción 52,Opción 52,$200.000.000,$1.335.400,$695.300
,53,Opción 53,Opción 53,$250.000.000,$1.669.300,$869.200
,54,Opción 54,Opción 54,$300.000.000,$2.003.100,$1.043.000
,55,Opción 55,Opción 55,$400.000.000,$2.670.900,$1.390.700
,56,Opción 56,Opción 56,$500.000.000,$3.338.600,$1.738.400
26,50,Opción 50,Opción 50,$50.000.000,$335.400,$174.600
,46,Opción 46,Opción 46,$100.000.000,$670.900,$349.300
,51,Opción 51,Opción 51,$150.000.000,$1.006.400,$524.000
,52,Opción 52,Opción 52,$200.000.000,$1.341.900,$698.700
,53,Opción 53,Opción 53,$250.000.000,$1.677.300,$873.400
,54,Opción 54,Opción 54,$300.000.000,$2.012.800,$1.048.000
